content,score,Label
"aku suka belanja di sini, kualitasnya terbaik banget. dear mimin shopee, kalo bisa adain fitur tema nya mau gelap atau cerah ya min, soalnya klo malem malem buka shopee tuh terang bgt kya cahaya ilahi, bkin sakit mata, jdinya tolong minn adain fitur bisa ganti tema. thanks",5,Positif
"App nya berat gila, kalo kyk gini khusus hp gaming aja yang bisa pakek, bikin males duluan pengen belanja barang gara2 app nya susah dibuka kebanyakan makan memori. Bikin males update juga.",1,Negatif
"Knpa pas masuk apk langsung ke shopee vidio/live kan jadinya nge bug suara nya malah brisik jdi ga nyaman,nga usa di gituiin knpa si lagian kalau butuh vidio/live nnti jg kita cri sendiri,aku pikir sesaat aja ternyata ber x x malah aku pikir hp ku yg eror",1,Negatif
Alhamdulilah saya sangat terbantu sekali BS belanja dgn shopee....TDK perlu pergi jauh...ckp nyari dihp itu sangat memudahkan....walau ada bbrp belanjaan saya TDK sesuai dgn yg dipesan....ada yg dikembalikan ada yg dibiarkan saja numpuk dirmh g BS dipakai....,5,Positif
"gasuka, benci karna estimasi yang suka berubah²... Terus juga toko yang tidak libur kadang lama packing barang. tolong toko yang lama packing barang diberi peringatan (note saya bukan ngirim lewat hemat ataupun PO barang... Langsung reguler)",2,Negatif
"Kesel sekarang belanja beberapq barang di shopee mall pengiriman sampe 10 hari gk dateng². Parahnya presto yang harganya cukup mahal dikirim nya barang rusak, kenapa toko seperti itu lolos masuk shopee mall bukannya sebelum daftar shopee mall ada kriteria khusus barang ori atau tidak dan baik atau tidaknya, ini lolos aja dan ngerugiin saya banget, minta return shopee gak acc acc udah 3 hari. Jujur cape, kecewa dan ribet kalo mesti return kaya gini tapi masalahnya ini presto gk bisa ditutup.",1,Negatif
klo menurut saya aplikasi shopee ini baguss top mantap👍👍 ..cuma sedikit saran tolong selalu diperbaiki..dan kasih harga yg sesuai..di.iklan produk. dan ketika mau belanja pas dicek harga gak sesuai di iklan pertama..,5,Positif
aplikasi jelek banget tiba-tiba spaylat gak bisa digunain. ngelike atau ngebagiin video juga gak bisa. dengan tulisan dinonaktifkan sementara karena kebijakan internal. maksudnya apaan anjir??,1,Negatif
"Begitu buka aplikasi langsung dibawa ke video iklan, sangat menyebalkan 😡 Loading juga lama padahal aplikasi lainnya lancar saja.",2,Negatif
"Saya sudah cukup lama belanja di Shopee ini, tapi kekecewaan selalu saja terjadi.bahkan semakin sering terjadi Bukannya berkurang. Kecewa dari berbagai bidang; ketika pesanan sudah diterima [selalu bermasalah] ketika pesanan sudah sampai di kota tujuan penerima [pesanan tidak diantar, adalah itu alasan alamat tidak lengkaplah, tidak bisa dihubungi, padahal kurir yang lain, yang satu ekpedisinya sudah mengantar pesanan] dan masih banyak lain permasalahan lainnya yang tidak muat di tuliskan disini",1,Negatif
Sekarang shopee udh gak kaya dulu customer loyal kaya di sepelekan aja kasih pinjaman susah banget padahal saya sudah berpuluh puluh kali pinjam gak pernah telat bayar dan selalu belanja di spaylater juga udh berjuta juga dan selalu bayar gak pernah telat sama sekali tapi di perlakukan seperti customer baru mulai punya shopee dan gak pernah bayar kalo ada customer yg gak bayar jgn kenak sama customer yg selalu bayar lah kecuali saya telat bayar credit sama macet ok saya terima.pokoknya KECEWA,1,Negatif
apk ini bagus kok tapi yg suka bikin kesel ekspedisi pengirimannya.sering kali aku co dan berminggu-minggu belum dtg.sekarang juga lagi ngalamin pesen tgl 25 sampai sekarang blm dtg mohon diperbaiki yaa karena awal awal dulu download shopee ngga gini bahkan 2 hari pemesanan barang langsung dtg,2,Negatif
Aplikasi ini lengkap mulai belanja produk dilengkapi fitur pay later memudahkan pembayaran mulai dr keb rumah tangga pulsa token dll serba ad.. membantu hidup jd lbh mudah,5,Positif
"Udah cek jaringan,jaringan udah sempurna login shopee nih mau pesen makanan eh malah disuruh cek jaringan alasan nya ga ada jaringan padahal ku cek semua aplikasi engga eror tuh kaya shopee,beda sendiri si shopee ini astaga gimana ini kalau eror itu bilang jangan bikin nunggu orang",1,Negatif
Sampai saat ini..saya belanja online disini masih terbilang aman.. Check ulasan dan pengguna lain sebelum memutuskan untuk belanja... Teliti memilih memilah toko yang kredibel dan amanah.. Sebaiknya chat penjual sebelum order. Terkait deskripsi produk dan stok barang.🙏🙏🌟,4,Positif
Untuk aplikasi cukup baik perodak nyh asli tiap belanja semua nyh sesuai tapi kenapa tapi sayang tiap belanja tidak ada perodak geratis padahal sayah penguna Shopee dari dulu bayak perodak sayh cout cuman yg dapat potongan harga nyh ajah dan poin nyh tidak bisa di tarik,5,Positif
"Akhirnya setelah 4 tahun menunggu spaylater nya di naikin juga walaupun gak bnyak tpi ttp bermanfaat, tinggal nunggu spinjam yang belum pernah berhasil. Terima kasih shopee sudah mendengar keluhan customer, semoga tidak di ambil lagi limitnya. Terima kasih.",5,Positif
"beli paket cod 3 barang semua nya gagal dikirim karena dibatalkan oleh pihak shopee karena gagal dikirim, akibatnya saya yang kena sanksi tidak bisa melakukan pembelian dengan pembayaran cod selama 2 bulan gimana mau belanja coba, peraturan yang sungguh merugikan sebelah pihak, lain kali kalo mau ngirim barang yang benar jangan sampai gagal lagi ya kalian yang gagal kirim aku pula yang jadi nggak bisa belanja online",2,Negatif
"Apk nya kenapa sih padahal koneksi internet saya bagus, kog setiap buka apk ini mau ngecek pesanan saya sudah sampai mana pasti selalu muncul "" TIDAK ADA KONEKSI INTERNET "", jadi males deh pesan barang pakek apk ini",1,Negatif
"Banyak penjual yang nipu kenapa ga dipilih pilih dlu dari pihak shopee, kaya gini kita pake apknya malah merugikan bgt mana ajukan pengembalian dana suka ga dibalikin dananya. Tolong juga buat pihak shopee buat ngasih dipengirimannya nama kurir sama nomernya buat memudahkan kita jika ada kesalahan.",1,Negatif
apk ini sangat menguntungkan saya untuk belanja online kadang dapat promo ada game nya lucky egg biar ngak gabut bsa belanja pake non cash juga kalian jangan ragu download shopee banyak yang sudah menggunakannya loh kalo paket ngak sesuai juga bsa dikembalikan kurirnya ramah tepat waktu cocok untuk memenuhi kebutuhan kalian apalagi kalo lagi live harga terjangkau dapat gratis ongkir ☺️,5,Positif
"Saya kasi bintang satu karena kecewa sama pihak shopee yang membiarkan toko/penjual yang nakal (penipu) merajalela di aplikasi. Setiap transaksi, shopee mendapat keuntungan tanpa memperhatikan keluhan pembeli. Laporan hanya diapresiasi 10% pengembalian dana, padahal sudah dikasi bukti penipuan dari toko penipu. pengembalian dana 10% itupun hanya goib (tidak jelas).",1,Negatif
"Kecewa banget dengan shopee. Udah berlangganan lama sampai akun saya jadi gold dan gak pernah nyecat baru sekali komplain sekali masalah barang yang saya terima rusak atau pecah jadi fitur cod nya di hapus. Dan salah satu akun penjual di akun shopee gak nerima saya kalau saya mau checkout barang malah sayanya di blokir sama akun penjualannya. Benar² kecewa, padahal saya rutin belanja di akun shopee karena saya ada usaha dirumah.",1,Negatif
"Tolong verivikasi puzzle nya dihilangkan,, ganggu banget setiap scroll shoppe ada tulisan verivikasi nya, padahal udh di daftar, di klik pun gk berfungsi puzzle nya, jelek aplikasi nya saya sangat merasa terganggu!!",1,Negatif
"Admin tolong dong, ada 1 ekspedisi yg bener-bener gak tanggung jawab jangan direkomendasikan jadi kurir gratis ongkir, bener-bener mengecewakan ekspedisi nya, jangan pake anteraja plis miin. 😭😭😭 Paket gak pernah sampe ke tangan pembeli. Tolong plis benned anteraja miiin 😭😭😭",1,Negatif
"Shopeepay sekarang kenapa gabisa digunakan untuk pengiriman reguler?? Pernyataannya selalu ""saldo tidak cukup"" padahal saldo shopeepay lebih dari total pembayaran.",1,Negatif
"Paling seneng blnja online di shopee..langganan sekali,,ga ribet ,ga mkn waktu dan tenaga,,dan sllu dpt diskon ongkir,,apalagi klo pas lagi live..bnyk sekali diskonannya,emak"" ya gini klo liat diskon,,jgn smpe khilaf ya sayang 😅",5,Positif
